Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_HandSoldering,87.757,-96.581,270,top
C2,22pF,C_0603_HandSoldering,87.757,-90.485,90,top
C3,100nF,C_0603_HandSoldering,88.646,-131.506,90,top
C4,1uF,C_0603_HandSoldering,96.9645,-72.71,270,top
C5,1uF,C_0603_HandSoldering,96.9645,-103.6295,270,top
C7,220uF,CP_Elec_6.3x7.7,90.264,-48.26,0,top
C8,100nF,C_0603_HandSoldering,98.618,-43.688,0,top
C9,1uF,C_0603_HandSoldering,94.107,-103.6295,270,top
C12,10uF,C_0805_HandSoldering,98.826,-41.148,180,top
C13,1uF,C_0603_HandSoldering,93.98,-72.7735,270,top
C14,100nF,C_0603_HandSoldering,64.6328,-98.3742,0,top
C15,100nF,C_0603_HandSoldering,79.9998,-87.4522,180,top
D1,LED,LED_1206_HandSoldering,69.7865,-61.6585,180,top
D3,BAV70,SOT-23,126.873,-59.4106,90,top
D4,BAV70,SOT-23,132.8268,-59.3504,90,top
D5,BAV70,SOT-23,132.8268,-83.4484,270,top
D6,BAV70,SOT-23,126.8476,-83.4484,270,top
D7,BAV70,SOT-23,132.8268,-111.7948,270,top
D8,BAV70,SOT-23,126.8476,-111.8202,270,top
D9,BAV70,SOT-23,126.8476,-140.2428,270,top
D10,BAV70,SOT-23,133.9952,-140.192,270,top
D11,BAV70,SOT-23,132.8268,-115.6302,90,top
D12,BAV70,SOT-23,126.8476,-115.6462,90,top
D13,BAV70,SOT-23,126.8476,-87.4428,90,top
D14,BAV70,SOT-23,132.8268,-87.4174,90,top
J4,Conn_02x03_Counter_Clockwise,Pin_Header_Straight_2x03_Pitch2.54mm_SMD,72.3265,-70.5485,0,top
L1,33uH,L_12x12mm_h8mm,90.046,-33.02,180,top
R1,10k,R_0603_HandSoldering,116.756,-144.526,0,top
R2,1k,R_0603_HandSoldering,98.976,-148.717,0,top
R3,1k,R_0603_HandSoldering,98.976,-152.527,0,top
R4,1k,R_0603_HandSoldering,116.797,-152.908,180,top
R5,120,R_0603_HandSoldering,116.797,-150.622,0,top
R6,1k,R_0603_HandSoldering,116.756,-148.209,0,top
R7,1k,R_0603_HandSoldering,91.1225,-72.6645,270,top
R8,1k,R_0603_HandSoldering,91.1225,-103.6955,270,top
R9,1k,R_0603_HandSoldering,76.37,-61.6585,0,top
R10,1k,R_0603_HandSoldering,83.566,-131.488,90,top
R11,1k,R_0603_HandSoldering,86.106,-131.488,90,top
RN1,10k,R_Array_Convex_4x0603,117.867,-51.4285,0,top
RN2,10k,R_Array_Convex_4x0603,117.867,-57.1945,0,top
RN3,10k,R_Array_Convex_4x0603,117.867,-64.3825,0,top
RN4,10k,R_Array_Convex_4x0603,117.867,-71.5455,0,top
RN5,10k,R_Array_Convex_4x0603,117.867,-79.7115,0,top
RN6,10k,R_Array_Convex_4x0603,117.867,-86.74794,0,top
RN7,10k,R_Array_Convex_4x0603,117.867,-94.3545,0,top
RN8,10k,R_Array_Convex_4x0603,117.867,-101.3015,0,top
RN9,10k,R_Array_Convex_4x0603,117.867,-109.364604,0,top
RN10,10k,R_Array_Convex_4x0603,117.867,-115.6335,0,top
RN11,10k,R_Array_Convex_4x0603,117.867,-123.444,0,top
RN12,10k,R_Array_Convex_4x0603,117.867,-130.74,0,top
SW1,SW_SPST,SW_SPST_EVQPE1,124.62,-144.526,0,top
SW2,SW_DIP_x05,SW_DIP_x5_W8.61mm_Slide_LowProfile,70.0405,-107.2515,270,top
U1,ATmega328P-AU,TQFP-32_7x7mm_Pitch0.8mm,72.83,-93.872,180,top
U2,TLC5971PWP,HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad,94.01,-78.8,0,top
U3,TLP290-4,SOP-16_4.4x10.4mm_Pitch1.27mm,109.22,-67.437,0,top
U4,TLP290-4,SOP-16_4.4x10.4mm_Pitch1.27mm,109.347,-82.677,0,top
U5,TLP290-4,SOP-16_4.4x10.4mm_Pitch1.27mm,109.347,-97.282,0,top
U6,TLC5971PWP,HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad,94.01,-109.855,0,top
U7,TLP290-4,SOP-16_4.4x10.4mm_Pitch1.27mm,109.22,-52.832,0,top
U8,APE1707H-50-HF,TO-263-5_TabPin3,107.877,-33.528,0,top
U9,TLP290-4,SOP-16_4.4x10.4mm_Pitch1.27mm,109.22,-111.887,0,top
U10,UM3486EESA,SOIC-8_3.9x4.9mm_Pitch1.27mm,108.552,-150.622,0,top
U11,TLP290-4,SOP-16_4.4x10.4mm_Pitch1.27mm,109.347,-126.492,0,top
Y1,16MHz,Crystal_SMD_0603-2pin_6.0x3.5mm_HandSoldering,84.201,-93.599,90,top
